id,key,value,type
281266,highway,motorway_junction,regular
281266,ref,414B,regular
31832499,source,PGS,regular
32972214,created_by,JOSM,regular
35706312,created_by,JOSM,regular
35706474,created_by,JOSM,regular
53017286,highway,turning_circle,regular
53020280,highway,turning_circle,regular
53026637,highway,stop,regular
53032376,highway,stop,regular
53033551,highway,turning_circle,regular
53035571,highway,traffic_signals,regular
53047418,highway,turning_circle,regular
53056297,highway,traffic_signals,regular
53060679,exit_to,7th Street;West Grand Avenue,regular
53060679,highway,motorway_junction,regular
53060679,ref,44,regular
53060679,source,http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/eighteightynorth.pdf;http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/eighteightysouth.pdf,regular
53063664,traffic_calming,hump,regular
53066305,highway,turning_circle,regular
53075097,highway,turning_circle,regular
53080299,highway,turning_circle,regular
53081436,highway,turning_circle,regular
53082282,highway,turning_circle,regular
53097115,highway,turning_circle,regular
53099270,highway,crossing,regular
53099270,crossing,uncontrolled,regular
53099270,traffic_calming,table,regular
53102105,highway,turning_circle,regular
53102661,highway,turning_circle,regular
53103074,highway,turning_circle,regular
53110427,highway,turning_circle,regular
53115582,highway,turning_circle,regular
53118782,highway,stop,regular
53119318,highway,turning_circle,regular
53119773,highway,turning_circle,regular
53123999,highway,turning_circle,regular
53125308,highway,turning_circle,regular
53133457,highway,turning_circle,regular
53138762,highway,traffic_signals,regular
53139404,highway,turning_circle,regular
53152862,highway,turning_circle,regular
53154647,highway,turning_circle,regular
56113342,created_by,JOSM,regular
56114134,created_by,JOSM,regular
57819380,highway,traffic_signals,regular
57821934,highway,turning_circle,regular
57828453,highway,traffic_signals,regular
57848870,highway,traffic_signals,regular
57851343,highway,traffic_signals,regular
57866889,highway,turning_circle,regular
57868892,highway,turning_circle,regular
57874032,bicycle,yes,regular
57874032,highway,crossing,regular
57874032,crossing,uncontrolled,regular
57875172,highway,turning_circle,regular
57876255,source,Yahoo,regular
57876255,highway,turning_circle,regular
57898376,highway,turning_circle,regular
57918604,highway,turning_circle,regular
57931110,highway,turning_circle,regular
57955447,highway,turning_circle,regular
57956920,highway,turning_circle,regular
65287898,highway,stop,regular
65294782,highway,turning_circle,regular
65295314,highway,traffic_signals,regular
65300025,highway,traffic_signals,regular
65300025,sound,yes,traffic_signals
65306155,highway,traffic_signals,regular
65306155,sound,yes,traffic_signals
65307419,highway,traffic_signals,regular
65307419,turn_restrictions,no,regular
65308820,highway,traffic_signals,regular
65309205,highway,stop,regular
65318263,highway,turning_circle,regular
65322518,highway,traffic_signals,regular
65325118,highway,traffic_signals,regular
65333894,turn_restrictions,no,regular
65337385,highway,traffic_signals,regular
65353550,highway,crossing,regular
65358767,highway,motorway_junction,regular
65358767,noref,yes,regular
65366518,highway,turning_circle,regular
65376340,highway,crossing,regular
65376340,crossing,uncontrolled,regular
65403032,highway,traffic_signals,regular
65403419,highway,turning_circle,regular
65409225,highway,turning_circle,regular
65414555,highway,turning_circle,regular
65426475,highway,turning_circle,regular
65429727,highway,turning_circle,regular
65432093,highway,turning_circle,regular
65433327,source,Yahoo,regular
65433327,highway,stop,regular
65438774,highway,turning_circle,regular
65439635,highway,turning_circle,regular
65441639,highway,stop,regular
65443900,highway,turning_circle,regular
65447969,highway,turning_circle,regular
65451873,highway,traffic_signals,regular
65458538,highway,traffic_signals,regular
65460053,highway,turning_circle,regular
65467216,highway,traffic_signals,regular
65469649,highway,traffic_signals,regular
65474101,highway,turning_circle,regular
65488116,highway,turning_circle,regular
65493018,highway,turning_circle,regular
65496217,highway,turning_circle,regular
